Parsed Program Hours,Parsed Program Hours
"Sunday - Saturday 5:00pm-23:59pm, 00:00am-08:00am",Tuesday-Thursday 1:00pm-3:00pm; Saturday 10:00am-12:00pm
,Monday-Thursday 9:00am-5:00pm
,Monday-Friday 5:30am-12:00pm
,"Monday-Friday, 12:00pm-5:00pm"
,Monday - Friday 11:30am - 2:00pm
,Monday-Friday 8:00am-4:00pm
,24 hours
,24 hours
,24 hours
,Sunday - Saturday 9:00am-8:00pm
,24 hours
,Monday-Friday 8:00am-4:30pm
,"Monday, Thursday 7:30am - 7:00pm; Tuesday, Wednesday, Friday 7:30am - 5:00pm"
,Monday 8:00am - 5:00pm; Tuesday 8:00am - 5:00pm; Wednesday 8:00am - 7:00pm; Thursday 8:00am - 7:00pm; Friday 7:00am - 5:00pm
,"Monday, Wednesday 7:30am-7:00pm; Tuesday, Thursday, Friday 7:30am-5:00pm"
,Monday-Thursday 8:00am- 7:00pm; Friday 8:00am- 5:00pm 
,Monday-Wednesday 8:00am- 7:00pm; Thursday- Friday 8:00am- 5:00pm
,Monday-Thursday 8:00am-8:00pm; Friday 8:00am-4:30pm
,Monday-Friday 8:00am - 5:00pm
,24 hours
,"Monday, Wednesday-Friday 7:30am - 5:00pm; Tuesday: 7:30am-7:00pm"
,"Monday-Friday 8:00am - 5:00pm, 7:30am-5:00pm"
,Tuesday 5:00pm-6:00pm; Wednesday 9:00am-11:00am
,"Monday, Thursday, Friday 9:00am-4:30pm; Wednesday 10:00am-6:00pm"
,Monday-Friday 7:45am-4:30pm
,Monday-Friday 7:45am-4:30pm
,Monday-Saturday 9:00am-9:00pm; Sunday 10:00am-6:00pm
,Monday-Saturday 9:00am-9:00pm; Sunday 10:00am-6:00pm
,Monday-Saturday 9:00am-9:00pm; Sunday 10:00am-6:00pm
,Monday-Saturday 9:00am-9:00pm; Sunday 10:00am-6:00pm
,Monday-Saturday 9:00am-9:00pm; Sunday 10:00am-6:00pm
,Monday - Friday 8:00am - 4:00pm
,Monday-Friday 8:00am - 4:00pm
,Monday 5:00pm-7:00pm
,Monday-Friday 7:30am-4:00pm
,24hours
,Monday-Friday 8:00am-5:00pm
,Monday - Thursday 10:00am - 7:00pm; Friday - Saturday 10:00am - 5:00pm; Sunday 12:00pm - 4:00pm
,Monday - Thursday 10:00am - 7:00pm; Friday - Saturday 10:00am - 5:00pm; Sunday 12:00pm - 4:00pm
,Monday 5:30pm-6:30pm
,Monday-Friday 12:00pm-1:00pm
,Wednesday 1:00pm - 3:00pm
,"Monday, Wednesday 11:30am-2:00pm"
,"Monday, Wednesday, Friday 11:30am-2:00pm"
,Monday-Friday 8:00am-1:00pm
,Monday-Friday 8:00am - 4:30pm
,Monday-Friday 11:30am-2:00pm
,Monday-Friday 11:30am-2:00pm
,Monday-Friday 11:30am-2:00pm
,Monday - Friday 8:30am - 4:00pm
,Monday- Friday 11:30am - 1:30pm
,Monday-Friday 3:00pm-6:00pm
,Monday-Friday 5:15am-10:30pm; Saturday 6:00am-7:00pm; Sunday 9:00am-7:00pm
,Wednesday-Thursday 1:00pm-6:00pm
,Monday 9:30am-12:00pm
,Tuesday 8:00am-12:00pm; Thursday 1:00pm-4:00pm
,Thursday 9:00am-10:30am
,Saturday 10:00am-12:00pm; Thursday 5:00pm-7:00pm
,Monday-Friday 9:00am-4:00pm
,Monday - Friday 9:00am-4:00pm
,Monday-Friday 11:30am-2:00pm
,Monday-Friday 9:00am-4:00pm
,Monday - Friday 9:00am-5:30pm
,Monday-Friday 8:00am-4:30pm
,"Tuesday, Thursday, Friday, Saturday 11:15am-11:45am"
,Monday-Thursday 9:00am-9:00pm; Friday 9:00am-6:00pm; Saturday 9:00am-5:00pm; Sunday 1:00pm-5:00pm
,Monday-Thursday 9:00am-9:00pm; Friday 9:00am-6:00pm; Saturday 9:00am-5:00pm; Sunday 1:00pm-5:00pm
,"Monday,Wednesday,Friday 1:00pm-9:00pm; Tuesday 10:00am-6:00pm; Thursday 12:00pm-6:00pm; Saturday 9:30am-5:00pm"
,Monday-Friday 10:00am-8:00pm; Saturday 9:00am-5:00pm
,Monday-Friday 10:00am-8:00pm; Saturday 9:00am-5:00pm
,Monday-Friday 10:00am-8:00pm; Saturday 9:00am-5:00pm
,Monday-Friday 9:00am-8:00pm; Saturday 9:00am-5:00pm
,Monday-Friday 10:00am-8:00pm; Saturday 9:00am-5:00pm
,Monday-Friday 9:00am-9:00pm; Saturday 9:00am-5:00pm
,Monday-Friday 9:00am-8:00pm
,"Monday-Friday, 9:00am-6:00pm"
,Monday-Friday 3:00pm-5:30pm
,Monday-Friday 3:00pm-5:30pm
,Monday-Friday 3:00pm-5:30pm
,Monday-Friday 3:00pm-5:30pm
,Monday-Friday 3:00pm-5:30pm
,Monday-Friday 3:00pm-5:30pm
,Monday-Friday 3:00pm-5:30pm
,Monday-Friday 3:00pm-5:30pm
,Monday-Friday 3:00pm-5:30pm
,Monday-Friday 3:00pm-7:00pm
,"Monday-Friday, 3:30pm-5:30pm"
,Monday - Friday 3:00pm - 6:00pm
,Monday-Friday 8:30am-4:30pm
,Monday- Friday 11:30am
,Monday - Friday 8:00am - 4:30pm
,24 hours
,Monday-Thursday 3:00pm-7:00pm; Friday 3:00pm-6:00pm
,Tuesday 8:00am-4:00pm; Friday 8:00am-2:00pm; Saturday 8:00am-2:00pm
,Tuesday-Friday 9:00am-12:00pm
,Tuesday-Friday 10:00am-1:00pm
,Monday-Friday 8:30am-4:30am
,Monday-Thursday 9:00am-7:00pm; Friday 9:00am-5:00pm; Saturday 9:00am-12:00pm
,"Wednesday 10:00am-12:00pm, 6:00pm-7:30pm"
,"Monday - Thursday 10:00am - 1:00pm, 2:00pm - 7:00pm; Friday 10:00am - 5:00pm; Saturday 10:00am - 2:00pm"
,Monday-Friday 9:00am-3:00pm
,"Monday, Wednesday, Friday 12:00pm - 3:00pm"
,Tuesday-Thursday 12:00pm - 3:00pm
,Monday-Wednesday 11:00am-6:00pm; Tuesday-Thursday 9:00am-8:00pm; Friday 11:00am-5:00pm; Saturday 9:00am-1:00pm
,"Monday,Wednesday,Thursday 8:00am-7:00pm; Tuesday-Friday 8:00am-5:00pm; Saturday 8:00am-12:00pm"
,"Monday,Wednesday,Thursday 8:00am-7:00pm; Tuesday-Friday 8:00am-5:00pm; Saturday 8:00am-12:00pm"
,"Monday,Wednesday,Thursday 8:00am-7:00pm; Tuesday-Friday 8:00am-5:00pm; Saturday 8:00am-12:00pm"
,"Monday-Thursday 8:00am- 6:00pm; Tuesday,Wednesday,Friday 8:00am-5:00pm"
,Monday-Friday 8:00am- 5:00pm
,Monday- Friday 8:00am-5:00pm
,Monday- Friday 8:00am- 5:00pm
,Monday- Friday 8:00am- 5:00pm
,"Monday,Wednesday,Thursday 8:00am-7:00pm; Tuesday,Friday 8:00am-5:00pm; Saturday 8:00am-12:00pm"
,"Monday,Wednesday,Thursday 8:00am-7:00pm; Tuesday,Friday 8:00am-5:00pm; Saturday 8:00am-12:00pm"
,"Monday,Friday 7:00am-9:00pm; Saturday,Sunday 8:00am-5:00pm;"
,"Monday,Wednesday,Thursday 8:00am-7:00pm; Tuesday,Friday 8:00am-5:00pm; Saturday 8:00am-12:00pm"
,"Monday,Wednesday,Thursday 8:00am-7:00pm; Tuesday,Friday 8:00am-5:00pm; Saturday 8:00am-12:00pm"
,"Monday,Wednesday,Thursday 8:00am-7:00pm; Tuesday,Friday 8:00am-5:00pm; Saturday 8:00am-12:00pm"
,Monday-Friday 7:00am-9:00pm; Saturday-Sunday 8:00am-5:00pm
,"Monday,Wednesday,Thursday 8:00am-7:00pm; Tuesday,Friday 8:00am-5:00pm; Saturday 8:00am-12:00pm"
,24 Hours
,"Monday, Wednesday-Friday 8:00am-5:00pm; Tuesday 8:00am-7:00pm"
,Monday 8:00am-7:00pm; Tuesday-Friday 8:00am-5:00pm
,"Monday-Friday 8:00am-9:00pm; Saturday, Sunday 9:00am-9:00pm"
,"Monday, Tuesday, Thursday 8:00am-7:00pm; Wednesday, Friday 8:00am-5:00pm"
,Monday-Friday 9:00am-4:30pm
,Monday 8:00am-7:00pm; Tuesday-Friday 8:00am-5:00pm
,Monday-Thursday 9:00am-8:00pm; Friday 9:00am-5:30pm; Saturday 9:00am-5:00pm; Sunday 1:00pm-5:00pm
,Monday-Friday 7:45am-4:30pm
,Monday-Friday 8:00am-5:00pm
